                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.94264,                 1.8093,                0.73841,                 1.0593,                0.54121,                0.42811,                0.41371,                0.21438,                0.50899,                0.40654,                0.36675,                0.16678,                  1.872,                 3.8115,                 2.2278,                 2.0766,             0.00054142,             0.00054142,             0.00054142
                      2,                0.96877,                 1.8249,                0.75444,                 1.0665,                0.45415,                0.38776,                0.34522,                0.17968,                 0.4152,                0.36735,                0.32101,                0.14357,                 1.9648,                  3.912,                 2.5991,                 2.1876,              0.0010917,              0.0010917,              0.0010917
                      3,                 1.0536,                 1.9521,                0.84169,                 1.1029,                 0.4651,                0.38265,                0.34089,                 0.1719,                0.50391,                0.36179,                  0.335,                0.13583,                 2.0946,                 3.9092,                 2.2372,                 2.1609,              0.0016364,              0.0016364,              0.0016364
                      4,                 1.1043,                 2.0447,                0.90696,                 1.1405,                0.46024,                0.29974,                 0.2809,                 0.1223,                 0.4184,                0.27344,                 0.2393,                0.10213,                 2.2855,                 4.5266,                 2.6109,                 2.4601,              0.0016422,              0.0016422,              0.0016422
                      5,                  1.155,                 2.1296,                0.96641,                  1.168,                0.50004,                0.30833,                0.31191,                0.14832,                0.47275,                0.29696,                0.27518,                0.12573,                 2.1743,                 3.8559,                  2.299,                 2.3037,               0.001634,               0.001634,               0.001634
                      6,                 1.1375,                 2.0944,                0.95366,                 1.1549,                0.50747,                0.33442,                0.35978,                 0.1813,                0.50244,                0.32873,                0.33618,                0.14938,                 2.0769,                 3.7222,                 2.1976,                  2.213,              0.0016257,              0.0016257,              0.0016257
                      7,                 1.1194,                 2.0737,                0.92023,                 1.1471,                0.47008,                 0.4011,                0.36795,                0.18004,                0.39633,                0.37929,                0.30731,                  0.133,                 2.0291,                 4.0034,                 2.2163,                 2.2005,              0.0016175,              0.0016175,              0.0016175
                      8,                 1.1171,                 2.0901,                 0.9159,                  1.143,                0.55356,                0.36994,                0.35528,                0.17559,                0.50907,                0.36793,                0.32821,                0.14293,                 2.0158,                 3.9606,                 2.3041,                 2.2174,              0.0016092,              0.0016092,              0.0016092
                      9,                 1.1254,                 2.0651,                 0.9334,                 1.1542,                 0.4415,                0.36675,                0.34266,                 0.1787,                0.40931,                0.33271,                0.30957,                0.13708,                 2.0326,                 3.8805,                 2.2145,                  2.218,               0.001601,               0.001601,               0.001601
                     10,                  1.082,                  2.002,                0.87086,                 1.1281,                0.46609,                0.42811,                0.37362,                0.17043,                0.40397,                0.39123,                0.31196,                 0.1309,                 2.0037,                 4.0986,                 2.1726,                 2.1706,              0.0015927,              0.0015927,              0.0015927
                     11,                 1.1281,                 2.0711,                0.92063,                 1.1465,                0.43711,                0.26739,                0.26695,                0.12608,                0.39147,                0.24134,                0.22244,                0.09882,                 2.0752,                 3.8061,                  2.607,                 2.2347,              0.0015845,              0.0015845,              0.0015845
                     12,                 1.1347,                 2.0728,                0.93438,                 1.1533,                0.44424,                0.36503,                0.33444,                0.14549,                0.41767,                0.34346,                0.29565,                0.11897,                 2.1116,                  4.075,                 2.1987,                 2.2026,              0.0015762,              0.0015762,              0.0015762
                     13,                 1.1379,                 2.0862,                 0.9411,                 1.1475,                0.52133,                0.37419,                0.37441,                0.17297,                0.46799,                0.34752,                0.31867,                0.14013,                 1.9952,                 3.7999,                  2.136,                 2.0616,               0.001568,               0.001568,               0.001568
                     14,                 1.1316,                 2.0742,                0.93412,                 1.1471,                0.51149,                0.39912,                0.40223,                0.20228,                0.52372,                0.34462,                0.33905,                0.14783,                 1.9791,                 3.7136,                  2.045,                 2.1759,              0.0015597,              0.0015597,              0.0015597
                     15,                 1.1061,                 2.0306,                0.88928,                 1.1326,                0.44593,                0.25765,                0.26736,                0.11257,                 0.4391,                0.25881,                0.24952,                 0.0925,                 2.3037,                 4.2079,                 2.9808,                  2.345,              0.0015515,              0.0015515,              0.0015515
                     16,                 1.1224,                 2.0653,                0.92448,                 1.1449,                0.57405,                0.32757,                0.35574,                0.16691,                0.49629,                0.32305,                0.30571,                0.14287,                 1.9867,                  3.623,                  2.374,                 2.1779,              0.0015432,              0.0015432,              0.0015432
                     17,                 1.0744,                 2.0075,                0.87902,                 1.1274,                0.47043,                0.47358,                0.40079,                0.17882,                0.43853,                0.44207,                0.34009,                0.14128,                 1.9327,                 3.5572,                 2.1096,                 2.0558,               0.001535,               0.001535,               0.001535
                     18,                 1.1128,                 2.0748,                0.89897,                 1.1353,                 0.4299,                0.42579,                0.35947,                0.18307,                0.40491,                0.39912,                 0.3229,                0.13887,                 1.9894,                 3.8347,                 2.2958,                 2.1699,              0.0015267,              0.0015267,              0.0015267
                     19,                 1.1128,                 2.0445,                0.90287,                 1.1372,                0.46099,                0.45522,                0.37869,                0.19211,                 0.4448,                0.43815,                0.35028,                 0.1513,                 1.9043,                 3.6445,                 2.0867,                 2.0842,              0.0015185,              0.0015185,              0.0015185
                     20,                 1.0698,                 1.9974,                 0.8525,                  1.115,                0.54538,                0.35935,                0.37239,                0.17253,                0.48968,                0.32844,                0.30806,                0.12914,                 2.0953,                  3.937,                 2.2232,                 2.2602,              0.0015102,              0.0015102,              0.0015102
                     21,                 1.1064,                 2.0408,                0.88424,                 1.1354,                0.48503,                0.44271,                0.37814,                0.18896,                0.45643,                0.42546,                0.34061,                0.15253,                 2.0128,                 3.6538,                  2.226,                 2.1287,               0.001502,               0.001502,               0.001502
                     22,                  1.098,                 2.0061,                0.88433,                 1.1283,                0.50338,                0.30427,                0.32786,                0.15768,                 0.4566,                0.27716,                0.28927,                0.11963,                 2.0479,                 3.8288,                 2.3705,                 2.1658,              0.0014937,              0.0014937,              0.0014937
                     23,                  1.078,                   1.99,                0.86169,                 1.1228,                0.43627,                0.37162,                 0.3312,                 0.1621,                0.40952,                0.36109,                0.28266,                0.12412,                 2.0546,                 3.8164,                  2.393,                 2.2072,              0.0014855,              0.0014855,              0.0014855
                     24,                 1.0936,                 2.0274,                0.88774,                 1.1253,                0.44514,                0.42069,                0.35414,                0.15905,                0.40229,                0.38381,                0.30063,                0.11992,                 2.1246,                   3.98,                 2.1803,                 2.1802,              0.0014772,              0.0014772,              0.0014772
                     25,                 1.1101,                 2.0344,                0.89671,                 1.1351,                0.49677,                0.38149,                0.35613,                0.15804,                0.46709,                0.34162,                0.29891,                 0.1326,                  2.032,                 3.6927,                 2.3508,                 2.1222,               0.001469,               0.001469,               0.001469
                     26,                 1.0997,                 2.0285,                0.88359,                 1.1344,                0.48029,                0.40364,                0.37135,                0.17098,                0.47259,                0.38284,                0.34832,                0.13651,                  1.963,                 4.0105,                 2.2962,                 2.1088,              0.0014607,              0.0014607,              0.0014607
                     27,                 1.1213,                 2.0532,                0.90571,                 1.1365,                0.51774,                0.36932,                0.34288,                0.15259,                0.49101,                0.35647,                0.30897,                0.12311,                 2.1487,                 3.8653,                 2.2173,                 2.2452,              0.0014525,              0.0014525,              0.0014525
                     28,                 1.0835,                 2.0115,                0.88255,                  1.134,                 0.5382,                0.34926,                0.32554,                0.15831,                0.46959,                0.36514,                0.30564,                0.12584,                  2.043,                 4.0541,                 2.4792,                 2.2446,              0.0014442,              0.0014442,              0.0014442
                     29,                 1.0881,                 1.9912,                0.86851,                 1.1201,                0.41903,                0.44914,                0.38084,                0.19179,                0.51524,                0.34636,                0.33793,                0.14925,                 1.9725,                 4.1192,                 2.0641,                 2.1098,               0.001436,               0.001436,               0.001436
                     30,                 1.0762,                 1.9734,                0.84973,                 1.1116,                0.58291,                0.39181,                0.38225,                 0.1924,                0.52651,                0.35888,                0.32801,                0.14318,                 1.9784,                 3.7591,                 2.2662,                 2.1655,              0.0014277,              0.0014277,              0.0014277
                     31,                 1.0627,                 1.9324,                0.83712,                 1.1062,                0.51834,                0.32592,                0.30745,                0.15392,                0.37788,                0.37603,                0.26765,                0.11509,                 2.0218,                 3.8238,                  2.436,                 2.0842,              0.0014195,              0.0014195,              0.0014195
                     32,                 1.0788,                 2.0091,                0.86736,                 1.1232,                0.47825,                0.42508,                0.39386,                0.17775,                0.55831,                0.34595,                 0.3522,                0.14648,                 2.0652,                 3.7294,                 2.1301,                 2.2647,              0.0014112,              0.0014112,              0.0014112
                     33,                 1.0978,                 2.0228,                 0.8626,                 1.1282,                0.50515,                0.36561,                0.34549,                0.16486,                0.47147,                0.33836,                 0.3014,                0.13151,                 1.9778,                 3.7149,                 2.1841,                 2.1406,              0.0014029,              0.0014029,              0.0014029
                     34,                 1.0807,                 1.9827,                0.85723,                 1.1204,                0.58429,                0.36109,                0.36601,                0.17668,                0.46995,                0.34089,                0.30633,                0.12941,                 2.0144,                 3.8713,                 2.2056,                 2.1567,              0.0013947,              0.0013947,              0.0013947
                     35,                 1.0572,                 1.9708,                 0.8391,                 1.1069,                0.51215,                0.40364,                 0.3966,                0.19568,                0.45813,                0.35993,                0.32398,                0.15469,                 2.0426,                 3.7247,                 2.1606,                 2.1942,              0.0013864,              0.0013864,              0.0013864
                     36,                 1.0688,                 1.9804,                 0.8364,                 1.1059,                 0.5237,                0.41385,                0.38757,                0.18636,                 0.4855,                0.34914,                0.32049,                0.13883,                 2.0114,                  4.043,                 2.0119,                 2.2045,              0.0013782,              0.0013782,              0.0013782
                     37,                 1.0677,                 1.9842,                0.86703,                 1.1179,                0.50919,                0.39415,                0.38938,                 0.1798,                0.49208,                0.38437,                 0.3476,                0.13655,                 2.0126,                 3.9249,                 2.2366,                 2.1198,              0.0013699,              0.0013699,              0.0013699
                     38,                 1.0495,                 1.9443,                0.84193,                 1.1082,                0.42309,                0.42753,                  0.351,                0.16478,                0.48738,                0.30264,                0.28105,                0.12607,                  2.084,                 4.2161,                 2.1801,                 2.2672,              0.0013617,              0.0013617,              0.0013617
                     39,                 1.0727,                 1.9901,                0.84978,                 1.1148,                0.54564,                0.31496,                0.34268,                0.17406,                0.45576,                0.31053,                0.29418,                0.12704,                 2.0383,                   4.03,                 2.5193,                 2.1507,              0.0013534,              0.0013534,              0.0013534
                     40,                 1.0604,                  1.967,                0.83612,                 1.1117,                0.60562,                0.34404,                0.33548,                0.17306,                0.53825,                0.30775,                 0.2871,                0.13296,                 1.9299,                 3.9104,                 2.3154,                 2.0988,              0.0013452,              0.0013452,              0.0013452
                     41,                 1.0163,                 1.8893,                0.77946,                 1.0861,                0.48321,                 0.4179,                0.36583,                0.19864,                0.52628,                0.36514,                0.35094,                0.14895,                 1.9547,                 4.0243,                 2.2028,                 2.1163,              0.0013369,              0.0013369,              0.0013369
                     42,                 1.0128,                 1.9032,                 0.7906,                  1.089,                0.42844,                0.45478,                0.36995,                0.18193,                0.40184,                0.43215,                0.32122,                0.14209,                 1.9913,                 4.0959,                 2.2211,                 2.1879,              0.0013287,              0.0013287,              0.0013287
                     43,                 1.0106,                 1.8737,                0.78906,                  1.084,                0.51138,                0.47403,                0.40717,                0.20639,                0.49888,                0.42069,                0.36492,                0.16171,                 1.9611,                 4.0365,                 2.0781,                 2.1532,              0.0013204,              0.0013204,              0.0013204
                     44,                  1.033,                 1.9136,                0.80415,                 1.0956,                0.58773,                0.37975,                0.36438,                0.16745,                0.48498,                0.38391,                0.32982,                0.13844,                 2.0772,                 3.9974,                 2.1313,                 2.3298,              0.0013122,              0.0013122,              0.0013122
                     45,                  1.033,                 1.9297,                  0.818,                 1.0974,                0.48275,                0.42011,                0.37589,                0.18436,                 0.4383,                0.41048,                0.34327,                0.14622,                 1.9245,                 3.9319,                 2.3455,                 2.0717,              0.0013039,              0.0013039,              0.0013039
                     46,                   1.02,                 1.9082,                0.79809,                 1.0907,                0.42929,                0.43147,                 0.3869,                0.18703,                 0.3958,                0.42695,                0.33309,                0.14754,                 1.9869,                  3.953,                  2.174,                  2.152,              0.0012957,              0.0012957,              0.0012957
                     47,                0.98557,                  1.834,                0.76039,                 1.0759,                0.55142,                0.42933,                0.40243,                 0.2052,                0.50939,                0.40202,                0.35234,                0.15776,                 1.9559,                 3.7969,                 2.1021,                 2.1597,              0.0012874,              0.0012874,              0.0012874
                     48,                 1.0199,                 1.8994,                   0.79,                 1.0811,                0.43957,                0.40325,                0.35837,                0.18123,                0.42467,                0.37798,                0.32888,                0.13674,                  1.978,                  3.632,                 2.2798,                 2.1681,              0.0012792,              0.0012792,              0.0012792
                     49,                  1.019,                  1.873,                 0.7857,                 1.0865,                0.40032,                 0.4593,                0.37794,                0.19229,                0.45687,                0.37813,                0.33541,                 0.1547,                 1.9634,                 3.6909,                 2.2147,                 2.1285,              0.0012709,              0.0012709,              0.0012709
                     50,                 1.0038,                  1.868,                 0.7832,                 1.0797,                0.47245,                0.43599,                0.38593,                0.18797,                0.45662,                0.42127,                0.35589,                0.15654,                 1.9821,                 3.8021,                 2.1953,                 2.1563,              0.0012627,              0.0012627,              0.0012627
                     51,                 1.0274,                 1.9197,                0.79809,                 1.0881,                0.51676,                0.35074,                0.37029,                0.17547,                0.45646,                0.34147,                 0.3216,                0.13729,                 2.0652,                 3.8025,                 2.2046,                 2.2279,              0.0012544,              0.0012544,              0.0012544
                     52,                0.99254,                 1.8389,                0.75818,                 1.0713,                0.47112,                 0.4513,                0.38272,                0.19504,                0.42712,                  0.415,                0.33809,                0.15195,                 1.9097,                  3.953,                 2.1896,                 2.1467,              0.0012462,              0.0012462,              0.0012462
                     53,                 1.0075,                 1.8583,                0.77626,                 1.0851,                0.53351,                0.38776,                0.36549,                0.19084,                0.50164,                0.36224,                0.32151,                0.14328,                 1.9408,                 4.0006,                 2.2603,                 2.1605,              0.0012379,              0.0012379,              0.0012379
                     54,                 0.9949,                 1.8468,                0.75533,                 1.0717,                0.40139,                 0.4631,                0.37049,                0.18843,                0.43233,                0.36677,                0.31932,                0.14517,                   1.93,                 3.7764,                 2.2096,                 2.0406,              0.0012297,              0.0012297,              0.0012297
                     55,                0.97579,                 1.8172,                0.74641,                 1.0696,                0.42716,                0.43344,                0.37172,                 0.1863,                0.41128,                0.41127,                0.33763,                 0.1474,                 1.9576,                 3.9585,                 2.2023,                 2.1285,              0.0012214,              0.0012214,              0.0012214
                     56,                0.97513,                 1.8208,                0.73706,                 1.0653,                 0.4903,                0.40767,                0.37142,                0.17895,                0.48575,                0.40306,                0.33494,                0.13914,                 1.9142,                 3.8624,                 2.1493,                 2.0935,              0.0012132,              0.0012132,              0.0012132
                     57,                0.98665,                 1.8473,                 0.7665,                 1.0755,                0.42072,                0.47171,                 0.3859,                0.17584,                0.39668,                0.41327,                0.31668,                0.13958,                 2.0416,                 4.3464,                  2.312,                 2.2287,              0.0012049,              0.0012049,              0.0012049
                     58,                0.97602,                 1.8489,                0.75085,                 1.0715,                0.47535,                0.37187,                0.35208,                0.18026,                0.48813,                0.37755,                0.33559,                0.14842,                  1.981,                 4.2234,                 2.2979,                 2.2884,              0.0011967,              0.0011967,              0.0011967
                     59,                0.98414,                 1.8377,                0.76373,                  1.068,                0.51865,                0.42658,                0.39262,                0.20242,                0.49183,                0.40377,                0.36354,                 0.1595,                  2.004,                 4.1127,                 2.0116,                 2.2817,              0.0011884,              0.0011884,              0.0011884
                     60,                 0.9931,                 1.8644,                0.76886,                 1.0756,                 0.5552,                 0.3503,                0.35854,                0.18135,                0.48825,                0.38776,                0.33609,                0.14611,                 1.9929,                  4.004,                  2.339,                 2.2364,              0.0011802,              0.0011802,              0.0011802
                     61,                0.97876,                 1.8274,                0.74756,                  1.066,                0.62753,                0.37871,                0.39876,                0.19539,                0.59585,                0.34002,                0.34496,                0.15354,                 1.9746,                 3.8949,                 2.3219,                 2.2072,              0.0011719,              0.0011719,              0.0011719
                     62,                0.97703,                 1.8177,                0.73868,                 1.0606,                0.50893,                0.39575,                0.37619,                0.17458,                0.55024,                0.32305,                0.31935,                0.13527,                 2.0288,                  3.959,                 2.3942,                 2.2306,              0.0011636,              0.0011636,              0.0011636
                     63,                0.97418,                 1.8352,                0.75308,                 1.0652,                0.48073,                0.47345,                0.39984,                0.19592,                0.48034,                0.44615,                0.36266,                0.15574,                 1.9706,                  4.017,                 2.1381,                 2.1453,              0.0011554,              0.0011554,              0.0011554
                     64,                0.96813,                 1.8248,                0.74434,                  1.063,                 0.4912,                0.42857,                0.38254,                0.19046,                0.42434,                 0.4077,                0.33677,                0.14991,                 1.9747,                 4.0362,                 2.1434,                 2.2528,              0.0011471,              0.0011471,              0.0011471
                     65,                0.96511,                  1.836,                0.74739,                 1.0613,                0.57048,                0.39317,                0.40022,                0.19247,                0.49685,                0.41723,                0.37297,                0.16068,                 1.9524,                 4.0326,                 2.1444,                   2.16,              0.0011389,              0.0011389,              0.0011389
                     66,                0.96531,                 1.7944,                0.73455,                 1.0573,                0.58046,                0.37987,                0.38445,                0.17316,                0.46147,                0.41848,                0.35409,                0.14132,                  2.015,                 4.0578,                 2.3189,                 2.2573,              0.0011306,              0.0011306,              0.0011306
                     67,                 0.9704,                 1.8083,                 0.7447,                 1.0641,                0.47701,                0.44636,                0.39335,                0.18827,                0.43736,                0.41248,                0.34593,                0.14902,                 1.9414,                 4.0733,                 2.2432,                 2.1305,              0.0011224,              0.0011224,              0.0011224
                     68,                0.96912,                 1.8067,                0.74316,                 1.0623,                 0.4504,                0.46614,                 0.3931,                0.19704,                0.49327,                0.39702,                0.35721,                0.15214,                  1.946,                 4.1059,                 2.1652,                  2.133,              0.0011141,              0.0011141,              0.0011141
                     69,                0.96942,                 1.8115,                0.72434,                 1.0613,                0.55858,                0.42753,                0.41375,                0.19178,                0.50342,                0.38555,                0.35186,                 0.1499,                 2.0202,                 3.9047,                 2.0949,                 2.2238,              0.0011059,              0.0011059,              0.0011059
                     70,                 0.9644,                 1.7894,                0.73515,                 1.0604,                0.48348,                0.44794,                0.39156,                0.18933,                0.46696,                0.43196,                0.36128,                0.14927,                 1.9336,                 4.1145,                  2.296,                 2.2106,              0.0010976,              0.0010976,              0.0010976
                     71,                0.97448,                 1.8121,                0.73503,                 1.0654,                0.51998,                 0.4462,                0.39083,                0.19031,                0.50074,                0.43089,                0.36023,                0.14686,                 1.9923,                 4.1336,                 2.0224,                 2.2912,              0.0010894,              0.0010894,              0.0010894
                     72,                0.93735,                  1.756,                0.70397,                 1.0447,                0.48033,                0.44925,                0.37861,                0.18988,                0.46537,                0.41995,                   0.34,                0.15256,                 1.9848,                 3.9631,                 2.2308,                 2.2365,              0.0010811,              0.0010811,              0.0010811
                     73,                0.94982,                 1.7686,                0.72211,                 1.0598,                0.47496,                0.42695,                 0.3765,                0.17748,                0.44357,                0.41061,                0.34991,                0.14652,                  2.025,                 3.8379,                 2.1203,                 2.2933,              0.0010729,              0.0010729,              0.0010729
                     74,                0.96706,                 1.8147,                0.74006,                 1.0597,                0.47644,                0.45304,                0.36564,                0.17385,                0.44509,                0.42753,                0.34264,                0.14124,                 2.0084,                 4.1631,                 2.2363,                 2.3022,              0.0010646,              0.0010646,              0.0010646
                     75,                0.94893,                 1.7663,                0.71198,                 1.0479,                0.50314,                0.42435,                0.40059,                0.19891,                0.49205,                0.40605,                0.37127,                0.16215,                 1.9737,                 3.9114,                   2.37,                 2.2736,              0.0010564,              0.0010564,              0.0010564
                     76,                0.96163,                 1.7732,                0.71767,                 1.0531,                0.50843,                0.39854,                0.37515,                 0.1871,                0.48256,                0.37697,                0.33742,                0.15248,                 1.9688,                 4.0327,                 2.2394,                  2.201,              0.0010481,              0.0010481,              0.0010481
                     77,                0.94605,                 1.7664,                0.70888,                 1.0499,                0.56865,                0.37245,                0.38862,                0.18244,                0.61014,                0.34126,                0.36282,                0.14522,                  2.025,                 3.9646,                 2.2063,                 2.2639,              0.0010399,              0.0010399,              0.0010399
                     78,                0.93655,                  1.758,                0.69427,                 1.0434,                0.55256,                0.37129,                0.37146,                0.17137,                0.48989,                0.33389,                0.30769,                0.13349,                 2.0075,                 3.9294,                 2.2375,                  2.244,              0.0010316,              0.0010316,              0.0010316
                     79,                0.93993,                 1.7652,                0.70249,                 1.0442,                0.48411,                0.43599,                0.38651,                0.19115,                0.45622,                 0.4099,                0.34197,                0.16024,                 1.9377,                 3.8243,                 2.0831,                 2.2002,              0.0010234,              0.0010234,              0.0010234
                     80,                0.93596,                 1.7546,                0.70582,                  1.052,                0.51461,                0.36262,                 0.3517,                0.17953,                0.48566,                0.36167,                0.32746,                0.14904,                 2.0048,                 4.0746,                 2.2854,                 2.3092,              0.0010151,              0.0010151,              0.0010151
                     81,                0.92555,                 1.7292,                0.69781,                 1.0417,                0.46413,                0.38793,                0.34779,                0.17513,                0.46249,                0.33884,                0.31154,                0.14036,                 2.0412,                 4.2315,                 2.1497,                 2.2768,              0.0010069,              0.0010069,              0.0010069
                     82,                0.93548,                 1.7611,                0.70818,                  1.047,                 0.5042,                0.41921,                0.37943,                0.17985,                0.48591,                 0.4013,                0.34096,                0.14284,                 2.0558,                 3.9793,                 2.3141,                 2.3209,             0.00099862,             0.00099862,             0.00099862
                     83,                0.94971,                 1.7881,                0.70866,                 1.0501,                0.52063,                0.48734,                0.42792,                0.20837,                0.49303,                 0.4695,                 0.3923,                0.16807,                  1.944,                 3.8216,                 2.0029,                 2.2315,             0.00099036,             0.00099036,             0.00099036
                     84,                0.93059,                 1.7581,                0.69034,                 1.0413,                0.51156,                0.43676,                0.39296,                0.19379,                0.44676,                0.40422,                0.33983,                0.15093,                 1.9228,                 3.9632,                 2.2466,                 2.2094,             0.00098211,             0.00098211,             0.00098211
                     85,                0.90506,                 1.7075,                0.68484,                 1.0392,                0.51412,                0.44842,                0.40133,                0.20044,                 0.4982,                 0.4233,                 0.3644,                0.15614,                  1.957,                 4.0178,                 2.2124,                 2.2462,             0.00097386,             0.00097386,             0.00097386
                     86,                0.91074,                 1.7249,                0.67764,                 1.0335,                0.44728,                0.45814,                0.39264,                0.18014,                0.44234,                0.44143,                0.36072,                 0.1511,                 1.9946,                 4.0892,                 2.2716,                    2.3,             0.00096561,             0.00096561,             0.00096561
                     87,                 0.9208,                 1.7258,                0.68922,                 1.0391,                0.54087,                0.39518,                0.37009,                0.18695,                 0.4977,                0.37419,                0.33124,                0.14942,                 1.9789,                 4.1443,                 2.2593,                 2.2862,             0.00095736,             0.00095736,             0.00095736
                     88,                0.89671,                 1.7051,                0.66602,                 1.0265,                0.50486,                0.41087,                0.37104,                0.18485,                0.43522,                0.42301,                0.34734,                 0.1456,                 1.9527,                 4.0677,                 2.0822,                 2.2598,             0.00094911,             0.00094911,             0.00094911
                     89,                0.94137,                 1.7377,                 0.6995,                 1.0437,                0.55697,                0.39065,                 0.3758,                0.17634,                  0.511,                0.37025,                 0.3261,                0.14007,                 2.0399,                 3.9056,                 2.2817,                 2.2839,             0.00094085,             0.00094085,             0.00094085
                     90,                0.92734,                 1.7299,                0.69254,                 1.0374,                0.57601,                0.38891,                0.36939,                0.18551,                0.53057,                0.35714,                0.32088,                 0.1467,                 1.9365,                 4.0893,                 2.3382,                 2.2064,              0.0009326,              0.0009326,              0.0009326
                     91,                0.91651,                 1.7376,                0.68109,                 1.0324,                 0.4474,                0.46403,                0.37808,                0.18667,                0.44748,                0.41674,                 0.3317,                0.14346,                 1.9519,                 4.0969,                 2.2006,                 2.1587,             0.00092435,             0.00092435,             0.00092435
                     92,                0.91497,                 1.7418,                0.68445,                  1.036,                0.52219,                0.43709,                 0.4024,                0.20941,                0.49131,                0.41518,                0.37186,                0.16007,                 1.9366,                 4.0457,                 2.2431,                 2.2241,              0.0009161,              0.0009161,              0.0009161
                     93,                0.91076,                 1.7153,                0.67989,                 1.0366,                 0.4948,                0.43147,                0.38908,                0.19346,                0.47644,                0.41558,                0.35132,                0.15583,                 1.9543,                 3.8815,                 2.1679,                 2.2147,             0.00090785,             0.00090785,             0.00090785
                     94,                0.88637,                 1.6701,                0.65549,                 1.0256,                0.51837,                0.41558,                 0.3939,                0.19675,                0.48365,                0.41048,                0.35817,                0.15525,                  1.957,                 4.1361,                 2.2165,                 2.2546,              0.0008996,              0.0008996,              0.0008996
                     95,                0.89042,                 1.6833,                0.66646,                 1.0299,                0.46987,                0.47577,                0.38697,                0.19535,                0.43909,                 0.4562,                0.34412,                0.15688,                 1.9187,                 4.1193,                 2.3021,                 2.2375,             0.00089134,             0.00089134,             0.00089134
                     96,                 0.8848,                 1.6877,                0.65503,                 1.0239,                0.46226,                0.41813,                0.39474,                0.19761,                0.44162,                0.39804,                0.35549,                0.15312,                 1.9427,                 4.1746,                 2.2621,                 2.2686,             0.00088309,             0.00088309,             0.00088309
                     97,                0.90104,                 1.6937,                0.65903,                 1.0241,                0.51901,                0.43198,                0.39444,                0.19748,                0.48475,                0.39854,                0.35483,                0.15516,                 1.9203,                 4.1155,                 2.1556,                 2.2218,             0.00087484,             0.00087484,             0.00087484
                     98,                0.89857,                  1.695,                  0.669,                 1.0272,                0.54806,                0.40235,                0.39635,                  0.198,                0.52623,                0.38755,                0.35077,                 0.1513,                 1.9647,                 4.0169,                  2.109,                 2.2787,             0.00086659,             0.00086659,             0.00086659
                     99,                0.88988,                  1.668,                0.65481,                 1.0255,                0.49896,                0.43773,                0.37671,                 0.1818,                0.48489,                0.42753,                0.35079,                0.15004,                 2.0394,                 4.2586,                 2.1888,                 2.3955,             0.00085834,             0.00085834,             0.00085834
